n	p	t	o	pr	tr	tp	s	pd	ce	r	e	a	rl	su	mp	px	fw	st	ad
Bijan Robinson	RB	Atlanta Falcons	1	RB1	1	RB1	9.645	10	9.6	9.8	8.5	9.4	9.7	9.6	364.75	FAIR	1.02–1.03	PASS	2
Jahmyr Gibbs	RB	Detroit Lions	2	RB2	2	RB2	9.884	10	10	9.5	9.2	9.9	9.83	9.2	359.5	FAIR	1.01–1.02	PASS	1
Ja'Marr Chase	WR	Cincinnati Bengals	3	WR1	4	WR2	9.675	10	9.7	9.7	9.5	8.8	9.6	9.4	351.75	BUY	1.02–1.04	PASS	3
Puka Nacua	WR	Los Angeles Rams	4	WR2	3	WR1	9.256	9.475	9.38	9.7	9.3	7.5	9.17	9.4	323	FAIR	1.03–1.05	PSOAS SORENESS / RETURN-TO-PRACTICE WATCH	4
Jaxon Smith-Njigba	WR	Seattle Seahawks	5	WR3	5	WR3	9.305	9.37	9.3	9.7	8.7	9.3	9.5	8.7	296	FADE	1.09–1.12	PASS	6
Amon-Ra St. Brown	WR	Detroit Lions	6	WR4	6	WR4	9.605	9.743	9.4	9.8	9.2	9.5	9.8	9.7	328	BUY	1.05–1.09	PASS	8
Christian McCaffrey	RB	San Francisco 49ers	7	RB3	9	RB4	9.34	10	9.4	9.7	8.8	7.5	9.2	8.3	348	FAIR	1.05–1.08	FULL TEAM WORK — BASE DURABILITY DISCOUNT ONLY	5
De'Von Achane	RB	Miami Dolphins	8	RB4	11	RB5	9.275	9.997	9.98	9.5	6.5	8.2	8.9	8.8	314	FAIR	1.07–1.12	CALF / SOFT-TISSUE WATCH	11
CeeDee Lamb	WR	Dallas Cowboys	9	WR5	7	WR5	9.286	9.303	9.4	9.5	9.3	8.8	9.1	9.2	290.25	BUY	1.07–1.12	PASS	12
Jonathan Taylor	RB	Indianapolis Colts	10	RB5	8	RB3	9.436	9.732	9.6	9.9	8.6	8.6	9.3	8.8	317	FAIR	1.07–1.10	PASS	7
Trey McBride	TE	Arizona Cardinals	11	TE1	13	TE1	9.386	9.688	9	9.9	8.1	9.4	9.6	9.6	265.5	BUY	2.03–2.06	PASS	18
James Cook	RB	Buffalo Bills	12	RB6	12	RB6	9.268	9.408	9	9.4	9.5	9.1	9.1	9	289.25	REACH	1.10–2.02	PASS	9
Justin Jefferson	WR	Minnesota Vikings	13	WR6	10	WR6	9.373	9.536	9.5	9.8	8.4	9.1	8.9	9.4	310.25	FAIR	1.09–2.01	PASS	10
Ashton Jeanty	RB	Las Vegas Raiders	14	RB7	14	RB7	8.96	8.9	9	9.7	8.4	8.2	8.4	8.6	282.5	FAIR	2.01–2.04	ANKLE SPRAIN — WEEK 1/2 AVAILABILITY WATCH	13
Omarion Hampton	RB	Los Angeles Chargers	15	RB8	15	RB8	8.949	9.254	9	9.2	9.1	7.9	8.4	8.2	277.25	FAIR	2.03–2.06	PASS	16
Drake London	WR	Atlanta Falcons	16	WR7	16	WR7	9.09	9.243	9.1	9.7	8.5	8.4	8.8	9	286	FAIR	2.04–2.07	PASS	15
Chase Brown	RB	Cincinnati Bengals	17	RB9	17	RB9	9.003	8.938	8.6	9.4	9.5	9	9	8.9	258.25	FAIR	2.05–2.08	PASS	17
Nico Collins	WR	Houston Texans	18	WR8	18	WR8	9.26325	9.4	9.294	9.74	8.7	8.8	8.965	9.1	276	BUY	2.08–3.02	PASS	26
Saquon Barkley	RB	Philadelphia Eagles	19	RB10	19	RB10	9.006	9.246	9.4	9.5	8.2	7.8	8.9	8.4	276.75	REACH	2.05–2.09	PASS	14
Brock Bowers	TE	Las Vegas Raiders	20	TE2	24	TE2	9.26	9.644	9.4	9.8	7.9	8.3	9.1	9.2	262	BUY	2.07–2.11	PASS	21
Kenneth Walker III	RB	Kansas City Chiefs	21	RB11	21	RB11	9.02	8.713	9.4	9.3	9.6	8.5	8.8	8.9	244.75	FAIR	2.06–2.12	PASS	18
Derrick Henry	RB	Baltimore Ravens	22	RB12	22	RB12	9.101	9.318	9.2	9.7	8.9	8	9	8.1	281.5	FAIR	2.07–2.12	PASS	20
DeVonta Smith	WR	Philadelphia Eagles	23	WR9	23	WR9	8.864	8.839	8.8	9.6	8.2	8.8	8.8	9.2	257.75	BUY	3.01–3.09	HAMSTRING — FULL PRACTICE RETURN	33
Breece Hall	RB	New York Jets	24	RB13	27	RB14	8.935	9.1	9.2	9.3	8.2	8.3	8.5	8.8	268	BUY	2.12–3.08	GROIN / WEEK 1 WATCH	31
A.J. Brown	WR	New England Patriots	25	WR10	25	WR10	9.14525	9.264	8.9	9.6	9.38	8.5	9.005	8.89	272.75	REACH	2.08–3.03	PASS	23
Kyren Williams	RB	Los Angeles Rams	26	RB14	26	RB13	9.022	9.233	8.3	9.5	9.3	8.8	9	8.9	276	FAIR	3.03–3.10	PASS	30
Chris Olave	WR	New Orleans Saints	27	WR11	30	WR13	8.91525	8.919	8.936	9.94	8.4	7.8	9	8.9	250.5	FAIR	3.02–3.10	CONDITIONAL WATCH	29
Tetairoa McMillan	WR	Carolina Panthers	28	WR12	29	WR12	8.991	8.946	8.8	9.5	8.6	9.2	8.8	9.1	265.25	BUY	3.03–3.12	PASS	36
George Pickens	WR	Dallas Cowboys	29	WR13	28	WR11	9.028	8.779	9.1	9.3	9.3	9.2	8.8	9	253.75	FAIR	3.01–3.07	PASS	25
Garrett Wilson	WR	New York Jets	30	WR14	34	WR16	8.68	8.629	8.6	9.6	8.2	8	8.6	9	244.75	BUY	3.11–4.03	PASS	39
Josh Allen	QB	Buffalo Bills	31	QB1	20	QB1	9.815	10	10	9.7	9.5	9.3	9.8	9.8	387	REACH	3.05–4.12	PASS	27
Zay Flowers	WR	Baltimore Ravens	32	WR15	32	WR14	8.776	8.517	8.8	9.1	8.9	9.2	8.6	8.6	238	BUY	3.11–4.03	PASS	39
Jameson Williams	WR	Detroit Lions	33	WR16	33	WR15	8.549	8.21	8.6	8.8	9.2	8.8	8.2	8.5	220.5	BUY	4.04–5.10	PASS	58
DJ Moore	WR	Buffalo Bills	34	WR17	39	WR19	8.73125	8.523	8.4	8.6	9.68	9.5	8.505	8.69	225.75	BUY	4.04–5.08	PASS	56
Rashee Rice	WR	Kansas City Chiefs	35	WR18	40	WR20	9.113	9.164	9.08	9.4	9.6	8.4	8.8	8.8	259.5	REACH	3.10–4.04	KNEE RECOVERY / TEAM-DRILL RAMP-UP	24
Emeka Egbuka	WR	Tampa Bay Buccaneers	36	WR19	35	WR17	8.534	8.412	8.64	9.1	8.8	7.8	8.035	8.7	238	BUY	3.10–4.06	TOE SPRAIN / WEEK 1 WATCH	38
Ladd McConkey	WR	Los Angeles Chargers	37	WR20	38	WR18	8.528	8.538	8.1	8.8	9.1	8.4	8.3	8.7	239.25	BUY	4.06–4.10	PASS	46
Rome Odunze	WR	Chicago Bears	38	WR21	43	WR22	8.405	8.115	8.5	8.8	9.3	7.7	8.2	8.7	215.75	BUY	5.02–6.02	PASS	62
Lamar Jackson	QB	Baltimore Ravens	39	QB2	37	QB4	9.54	9.901	9.6	9.7	8.9	9	9.2	9	371.5	FAIR	4.06–4.12	PASS	42
Drake Maye	QB	New England Patriots	40	QB3	31	QB2	9.46	9.571	9.6	9.4	9.2	9.4	9.2	9.2	343.25	BUY	4.09–5.04	PASS	52
Colston Loveland	TE	Chicago Bears	41	TE3	46	TE3	8.825	8.771	8.8	8.8	9.3	8.8	8.4	8.9	203.25	BUY	4.01–4.09	PASS	43
Jaylen Waddle	WR	Denver Broncos	42	WR22	44	WR23	8.59925	8.275	8.9	8.6	9.38	8.4	8.305	8.79	213.25	BUY	4.09–5.05	PASS	49
Brian Thomas Jr.	WR	Jacksonville Jaguars	43	WR23	49	WR25	8.438	8.295	8.7	8.3	9.2	8	8.2	8.4	204.75	BUY	5.04–6.08	PASS	71
Tee Higgins	WR	Cincinnati Bengals	44	WR24	42	WR21	8.607	8.633	8.6	8.9	9.5	7.5	8.1	8.5	245	FAIR	4.03–4.10	PASS	41
Luther Burden III	WR	Chicago Bears	45	WR25	45	WR24	8.328	7.78	8.5	8.6	9.3	8.5	8	8.7	199	FAIR	4.06–5.03	GROIN / PRESEASON ABSENCE WATCH	47
Tyler Warren	TE	Indianapolis Colts	46	TE4	47	TE4	8.406	8.688	8	8.5	8.6	8.1	8	8.4	198.25	FAIR	4.11–5.08	GROIN / SHORT-TERM WATCH	52
Javonte Williams	RB	Dallas Cowboys	47	RB15	41	RB15	8.601	8.488	8.4	9.1	9.3	8.1	8.5	8.4	231.25	REACH	4.07–4.11	PASS	32
Bucky Irving	RB	Tampa Bay Buccaneers	48	RB16	53	RB17	8.34	8.442	8.3	8.5	8.8	7.8	7.7	8.1	228.5	FAIR	4.06–5.02	PASS	44
Travis Etienne Jr.	RB	New Orleans Saints	49	RB17	52	RB16	8.5475	8.99	7.67	8.78	8.4	8.8	8.3	8.3	244.5	REACH	4.06–5.02	PASS	35
Terry McLaurin	WR	Washington Commanders	50	WR26	50	WR26	8.28	8.285	7.5	9.2	8.9	7.6	8.5	8.5	224.25	FAIR	5.01–5.09	PASS	53
Carnell Tate	WR	Tennessee Titans	51	WR27	51	WR27	8.117	7.49	8	8.8	8.2	9.2	7.9	8.8	186	BUY	5.10–6.06	PASS	66
Joe Burrow	QB	Cincinnati Bengals	52	QB4	36	QB3	9.375	9.315	9.4	9.8	9.5	8.7	9.4	9.5	321.25	BUY	5.01–5.12	PASS	56
TreVeyon Henderson	RB	New England Patriots	53	RB18	55	RB19	8.403	8.165	8.8	8	9.2	8.2	7.8	8.1	213.25	FAIR	5.01–5.10	RIGHT FOOT/ANKLE — PRACTICE-EXIT WATCH	51
David Montgomery	RB	Houston Texans	54	RB19	54	RB18	8.348	8.25	8.2	8.6	8.7	8.3	8.3	8.3	217.5	FAIR	5.08–6.02	PASS	54
Malik Nabers	WR	New York Giants	55	WR28	62	WR30	8.424	8.454	8.8	9.4	8.1	6.9	7.4	8.5	234.25	FADE	5.04–6.02	ACL/MENISCUS RECOVERY / CAMP WORKLOAD WATCH	34
Parker Washington	WR	Jacksonville Jaguars	56	WR29	56	WR28	8.133	7.593	8	8.6	9	8.4	8.4	8.5	173.25	BUY	6.12–7.08	UNDISCLOSED INJURY / DAY-TO-DAY WATCH	75
D'Andre Swift	RB	Chicago Bears	57	RB20	59	RB20	8.435	8.7	7.5	8.4	9.3	8.6	8.4	8.4	211	FAIR	5.09–6.02	MONANGAI KNEE INJURY — EARLY ROLE UP	57
Harold Fannin Jr.	TE	Cleveland Browns	58	TE5	71	TE6	8.276	8.475	7.7	9	7.6	8	8.4	8.8	185.5	FAIR	5.10–6.08	POST-SURGERY WATCH	65
Cam Skattebo	RB	New York Giants	59	RB21	60	RB21	7.969	7.84	8.1	8.4	8.1	7	8.2	8.5	197	REACH	5.04–6.01	PASS	42
Jeremiyah Love	RB	Arizona Cardinals	60	RB22	61	RB22	7.802	7.849	7.34	8.8	8.1	6.9	7.336	8	202.75	FADE	5.02–6.01	HIGH-ANKLE SPRAIN / WEEK 1 WATCH	23
Courtland Sutton	WR	Denver Broncos	61	WR30	58	WR29	8.13	8.085	6.8	8.4	9.2	9.2	8.2	8.6	214.25	FAIR	7.08–8.04	PASS	82
Mike Evans	WR	San Francisco 49ers	62	WR31	65	WR31	8.188	8.367	7.7	8.9	8.8	7.1	7.9	8	229	FAIR	5.11–6.10	PASS	59
Sam LaPorta	TE	Detroit Lions	63	TE6	57	TE5	8.148	8.352	7.94	8.4	9.2	6.4	7.736	8.6	184.5	BUY	5.07–7.02	HIP / BACK RECOVERY WATCH	74
Justin Herbert	QB	Los Angeles Chargers	64	QB5	70	QB10	9.185	9.213	8.8	9.7	9.1	9.2	9.1	9.2	314.75	BUY	7.08–8.06	PASS	90
Caleb Williams	QB	Chicago Bears	65	QB6	48	QB5	9.142	9.221	9	9.3	9.3	9.2	8.6	8.8	315.25	BUY	6.03–7.01	PASS	85
Jayden Daniels	QB	Washington Commanders	66	QB7	64	QB7	9.276	9.773	9.2	9.4	8.9	8.5	8.7	8.6	360.5	BUY	6.08–7.02	PASS	69
Marvin Harrison Jr.	WR	Arizona Cardinals	67	WR32	66	WR32	8.278	8.021	8.69	8.8	8.28	7.7	7.905	8.4	205.75	FAIR	6.08–7.02	PASS	69
Christian Watson	WR	Green Bay Packers	68	WR33	73	WR35	7.948	7.309	8.7	8.4	8.8	7.2	7.5	8.3	178.25	FAIR	6.06–7.02	PASS	64
Kyle Pitts	TE	Atlanta Falcons	69	TE7	79	TE7	8.6	8.4	9	8.8	8.3	9	7.7	8.5	186.5	FAIR	6.08–7.02	QB WATCH	68
Jaylen Warren	RB	Pittsburgh Steelers	70	RB23	74	RB23	8.003	7.895	7.5	7.9	8.5	8.6	8.2	8.7	199.75	FAIR	6.12–7.08	PASS	70
Kyle Monangai	RB	Chicago Bears	71	RB24	85	RB26	7.745	7.7	7.5	7.6	9.3	6.8	7.4	8.6	150	FAIR	8.06–9.06	KNEE INJURY — MULTI-WEEK ABSENCE	91
Jacory Croskey-Merritt	RB	Washington Commanders	72	RB25	86	RB27	7.747	6.933	7.9	8	8.9	8.4	7.8	8.4	158	BUY	8.11–9.02	LOWER-BODY / ROLE SPLIT WATCH	113
Bhayshul Tuten	RB	Jacksonville Jaguars	73	RB26	88	RB28	8.048	7.408	8.6	7.8	9	9	7.4	7.9	177.5	REACH	6.10–7.06	PASS	59
Patrick Mahomes II	QB	Kansas City Chiefs	74	QB8	67	QB8	9.683	9.75	9.3	9.8	9.6	10	10	9.6	324.25	BUY	8.11–9.02	POST-ACL/LCL RECOVERY — FULL CAMP WORK	115
Josh Downs	WR	Indianapolis Colts	75	WR34	72	WR34	8.16525	8.005	7.635	8.74	8.6	8	8.6	8.7	200.5	BUY	8.11–9.02	GROIN / RECEIVING-ROLE WATCH	112
Alec Pierce	WR	Indianapolis Colts	76	WR35	80	WR37	8.2055	7.769	8.09	9.08	8.6	8.4	7.83	8.3	172.25	BUY	8.04–8.10	ANKLE SURGERY / PUP RECOVERY WATCH	90
Jalen Hurts	QB	Philadelphia Eagles	77	QB9	63	QB6	9.188	9.58	9.1	9.4	8.2	9	9	8.7	344	REACH	6.12–7.10	PASS	64
Tony Pollard	RB	Tennessee Titans	78	RB27	81	RB25	7.933	7.865	6.9	8.4	8.2	8.8	8.2	8.6	198.25	FADE	8.06–9.04	PASS	72
Jakobi Meyers	WR	Jacksonville Jaguars	79	WR36	75	WR36	7.985	7.785	7	8.3	9	8.7	8.4	8.5	199.25	BUY	8.04–9.04	PASS	95
Michael Wilson	WR	Arizona Cardinals	80	WR37	68	WR33	7.632	7.006	7.7	8	8.1	8.4	7.6	8.2	165.25	FAIR	7.10–8.06	PASS	83
Brenton Strange	TE	Jacksonville Jaguars	81	TE8	91	TE10	7.853	7.252	7.2	8.9	9	8	8.2	8.6	134	BUY	10.05–12.01	PASS	147
Makai Lemon	WR	Philadelphia Eagles	82	WR38	82	WR38	7.892	7.478	8.1	8.4	8.2	8.2	7.7	8.6	185.5	FADE	9.02–10.01	HAMSTRING — FULL PRACTICE / RECURRENCE WATCH	88
Josh Jacobs	RB	Green Bay Packers	83	RB28	76	RB24	7.155	7.28	7.1	7.8	8.44	4.2	7.46	7.6	202	FADE	4.08–5.04	GROIN / RETURN-TO-PRACTICE WATCH	28
Jordan Addison	WR	Minnesota Vikings	84	WR39	87	WR40	8.01	7.785	7.7	8.5	8.4	8.2	7.8	8.4	199.25	BUY	8.08–9.06	QB WATCH	101
Dak Prescott	QB	Dallas Cowboys	85	QB10	69	QB9	9.012	8.892	8.7	9.7	9.3	8.6	9.1	9.2	295.5	BUY	8.08–9.06	PASS	97
Trevor Lawrence	QB	Jacksonville Jaguars	86	QB11	78	QB12	9.05	9.271	8.5	9.6	9	9.1	8.5	8.6	318.25	BUY	9.02–9.12	PASS	103
Isaiah Likely	TE	New York Giants	87	TE9	97	TE11	7.935	7.644	7.6	8.4	8.1	8.7	7.6	8.4	148	BUY	9.09–10.10	ROLE-SHARE WATCH	116
Rhamondre Stevenson	RB	New England Patriots	88	RB29	99	RB29	7.761	7.775	6.8	7.8	9.2	8	7.8	8	193.75	FADE	8.11–9.12	PASS	80
DK Metcalf	WR	Pittsburgh Steelers	89	WR40	84	WR39	7.939	7.77	7.3	8.5	8.5	8.3	7.9	8.2	198.5	REACH	7.10–8.08	PASS	74
Jayden Reed	WR	Green Bay Packers	90	WR41	93	WR42	7.793	7.222	8.3	8.1	8.8	7.2	7.6	8.2	174.5	BUY	9.01–10.09	HEALTH / TARGET-SHARE WATCH	117
Jadarian Price	RB	Seattle Seahawks	91	RB30	101	RB30	7.62	7	7.3	7.8	8.7	9.2	7	8	160	FADE	8.04–8.12	PASS	67
Davante Adams	WR	Los Angeles Rams	92	WR42	96	WR45	8.333	8.65	7.6	8.6	9.3	7.7	8	7.9	246	REACH	6.12–7.06	PASS	51
Jake Ferguson	TE	Dallas Cowboys	93	TE10	98	TE12	8.199	8.126	7.4	8.6	9.3	8.3	8.2	8.3	167.75	BUY	9.01–10.09	PASS	117
George Kittle	TE	San Francisco 49ers	94	TE11	115	TE16	7.923	7.75	8.6	9.1	8.6	6.8	7.4	7.5	185.5	FAIR	90–105	ACHILLES RECOVERY — OFF PUP / INDIVIDUAL WORK	89
Khalil Shakir	WR	Buffalo Bills	95	WR43	92	WR41	7.626	7.274	6.1	7.9	9.5	8.9	8.2	8.5	176.75	FAIR	9.07–11.10	PASS	127
Hunter Henry	TE	New England Patriots	96	TE12	105	TE14	8.14	7.886	7.5	8.5	9.2	8.3	8.4	8.7	157.75	BUY	10.05–12.07	PASS	139
Oronde Gadsden II	TE	Los Angeles Chargers	97	TE13	128	TE18	7.707	7.119	7.7	7.5	9.1	8.5	7.4	8.4	129.25	BUY	9.05–11.07	TE-ROTATION WATCH	127
Tyler Allgeier	RB	Arizona Cardinals	98	RB31	130	RB39	7.62325	6.458	7.346	8.64	8.1	9.7	7.964	8.4	134.75	BUY	120–140	BACKFIELD WATCH	115
MarShawn Lloyd	RB	Green Bay Packers	99	RB32	111	RB32	7.9425	7.79	8.47	8.68	8.8	6.4	6.8	7.2	142	BUY	200–250	HEALTH / RB2 ROLE WATCH	266
Matthew Golden	WR	Green Bay Packers	100	WR44	100	WR46	7.584	6.925	7.7	7.8	8.8	8.1	7	8.2	162.75	BUY	9.02–10.08	ROLE-EXPANSION WATCH	120
Mark Andrews	TE	Baltimore Ravens	101	TE14	90	TE9	8.285	8	8.4	9.3	8.8	8	7.2	7.4	179	BUY	95–115	PASS	127
Quinshon Judkins	RB	Cleveland Browns	102	RB33	104	RB31	8.031	7.845	8.3	8.8	7.6	7.4	8	8.1	197.25	REACH	6.10–7.10	PASS	45
Dallas Goedert	TE	Philadelphia Eagles	103	TE15	103	TE13	8.135	8.3	7.8	8.6	8.8	7.4	7.9	7.3	176.8	BUY	100–115	PASS / AGE WATCH	113
Rachaad White	RB	Washington Commanders	104	RB34	121	RB36	7.634	7.554	6.6	7.7	8.9	8.4	7.7	8	183.75	FADE	125–late	ROLE SPLIT WATCH	104
Quentin Johnston	WR	Los Angeles Chargers	105	WR45	107	WR48	7.873	7.193	7.9	8.5	9.1	8.1	7.4	8.2	173.25	FAIR	100–108	PASS	98
Blake Corum	RB	Los Angeles Rams	106	RB35	113	RB33	7.37	6.3	7.1	7.6	9.3	9.1	6.7	8.6	122.5	REACH	125–late	PASS	104
KC Concepcion	WR	Cleveland Browns	107	WR46	114	WR51	7.641	6.975	8.1	8	7.6	8.2	7.5	8.5	164.25	BUY	118–130	QB/ROLE WATCH	128
Travis Kelce	TE	Kansas City Chiefs	108	TE16	83	TE8	8.275	8.1	8.1	8.7	9.5	7.7	8.3	7.6	189	REACH	105–120	AGE / WORKLOAD MANAGEMENT WATCH	95
Xavier Worthy	WR	Kansas City Chiefs	109	WR47	116	WR52	7.485	6.758	8.4	7.5	9.6	6.7	6.5	7.2	157.75	BUY	9.08–11.03	SHOULDER / ROLE WATCH	123
Kenneth Gainwell	RB	Tampa Bay Buccaneers	110	RB36	133	RB42	7.456	6.317	7.5	7.8	8.8	9	7.6	8.3	139.5	FAIR	105–115	PASS	106
Woody Marks	RB	Houston Texans	111	RB37	132	RB41	7.258	6.267	7	7.7	8.7	8.8	7.2	8	138	FADE	150–late	PASS	135
Romeo Doubs	WR	New England Patriots	112	WR48	106	WR47	7.606	6.975	7.2	7.7	9.2	8.6	7.6	8.2	164.25	FAIR	9.09–10.12	PROJECTION / ROLE WATCH	119
Jordan Mason	RB	Minnesota Vikings	113	RB38	126	RB38	7.389	6.625	6.9	8	8.4	8.4	7.7	8.5	148.75	FAIR	112–120	PASS	115
Jalen Coker	WR	Carolina Panthers	114	WR49	112	WR50	7.791	7.204	7.4	8.6	8.6	8.2	8	8.4	173.75	BUY	125–140	PASS	138
Chig Okonkwo	TE	Washington Commanders	115	TE17	134	TE19	7.711	7.217	7.1	8	8.9	8.8	7.6	8.3	132.75	BUY	135–150	TARGET-SHARE WATCH	150
Chuba Hubbard	RB	Carolina Panthers	116	RB39	120	RB35	8.055	8.3	7	8.2	8.6	7.7	7.7	7.9	162.75	FADE	110–late	HAMSTRING — WEEK-TO-WEEK	80
Michael Pittman Jr.	WR	Pittsburgh Steelers	117	WR50	110	WR49	7.99	7.8	7.7	8.3	8	8.7	8	8.1	191.5	REACH	110–125	ROLE-TRANSITION WATCH	93
Dalton Kincaid	TE	Buffalo Bills	118	TE18	108	TE15	7.765	7.844	7.5	7.1	9.5	7.5	7.1	8	156	BUY	110–125	ROLE/HEALTH WATCH	121
Rashid Shaheed	WR	Seattle Seahawks	119	WR51	117	WR53	7.601	7.018	7.5	8	8.7	8.1	7.2	8.1	165.75	BUY	10.03–12.06	PASS	141
Jonathon Brooks	RB	Carolina Panthers	120	RB40	131	RB40	7.481	7.59	7.88	7.3	8.6	5.8	6.77	7.7	169.25	FADE	8.11–9.09	HIGH-PRIORITY CAMP WATCH	103
Jaxson Dart	QB	New York Giants	121	QB12	102	QB14	8.624	8.954	8.5	9	8.1	8.2	8.1	8.1	299.25	FADE	110–late	PASS	84
Stefon Diggs	WR	Washington Commanders	122	WR52	94	WR43	7.209	7.298	7.7	5.8	8.9	6.8	6.7	6.8	177.75	BUY	125–140	PASS / NEW-TEAM ROLE WATCH	142
Mike Washington Jr.	RB	Las Vegas Raiders	123	RB41	118	RB34	8.24425	7.8	9.026	7.84	8.88	9	7.006	7.9	116.2	BUY	125–145	JEANTY ANKLE-SPRAIN / SHORT-TERM ROLE-EXPANSION WATCH	151
Chris Godwin Jr.	WR	Tampa Bay Buccaneers	124	WR53	95	WR44	7.856	7.86	7.8	8.5	8.8	6.2	7.5	7.9	203	BUY	95–105	MAJOR LOWER-BODY RECOVERY WATCH	97
Tucker Kraft	TE	Green Bay Packers	125	TE19	125	TE17	7.953	7.88	7.8	8.7	8.8	6.5	7.6	8.4	157.5	FADE	110–late	ACL RECOVERY — BACK IN TEAM DRILLS	79
